Date Time,Nominal Total,Risk Capital,Leverage
6/11/2019 2:30:00 AM,1207080,525371.200000001,2.29757550470981
6/11/2019 3:00:00 AM,1206240,525371.200000001,2.2959766351867
6/11/2019 3:30:00 AM,1206880,525371.200000001,2.29719482149002
6/11/2019 4:00:00 AM,1207000,525371.200000001,2.29742323142189
6/11/2019 4:30:00 AM,1358505,525371.200000001,2.58580028749196
6/11/2019 5:00:00 AM,1360440,525371.200000001,2.58948339764341
6/11/2019 5:30:00 AM,1513300,525371.200000001,2.88043958252755
6/11/2019 6:00:00 AM,1513500,525371.200000001,2.88082026574734
6/11/2019 6:30:00 AM,1513100,525371.200000001,2.88005889930776
6/11/2019 7:00:00 AM,1512650,525371.200000001,2.87920236206324
6/11/2019 7:30:00 AM,1512000,525371.200000001,2.87796514159892
6/11/2019 8:00:00 AM,1513100,525371.200000001,2.88005889930776
6/11/2019 8:30:00 AM,1665950,525371.200000001,3.1709960500309
6/11/2019 9:00:00 AM,1971125,525371.200000001,3.75187105802525
6/11/2019 9:30:00 AM,1972880,525371.200000001,3.75521155327889
6/13/2019 7:00:00 AM,2415760,529961.680000001,4.55836731440657
6/13/2019 7:30:00 AM,2412080,529961.680000001,4.55142341612321
6/13/2019 8:00:00 AM,2411360,529961.680000001,4.55006482732864
6/13/2019 10:00:00 AM,2569380,524430.800000001,4.89936899205766
6/17/2019 1:30:00 AM,2562920,517534.240000001,4.95217475852418
6/17/2019 2:00:00 AM,2561985,517534.240000001,4.95036811477439
6/17/2019 2:30:00 AM,2560625,517534.240000001,4.94774026932014
6/17/2019 3:00:00 AM,2558840,517534.240000001,4.94429122216144
6/17/2019 11:00:00 AM,2877265,510892.680000001,5.63183837356995
6/17/2019 11:30:00 AM,2872800,510892.680000001,5.62309876900173
6/18/2019 5:00:00 AM,2887810,503849.760000001,5.7314902759902
6/18/2019 5:30:00 AM,2888190,503849.760000001,5.73224446906553
6/18/2019 6:00:00 AM,2888095,503849.760000001,5.73205592079669
6/18/2019 6:30:00 AM,2892465,503849.760000001,5.74072914116302
6/18/2019 7:00:00 AM,3053000,503849.760000001,6.05934594471176
6/18/2019 7:30:00 AM,3049700,503849.760000001,6.05279637326808
6/18/2019 8:00:00 AM,3054900,503849.760000001,6.06311691008842
6/18/2019 8:30:00 AM,3057800,503849.760000001,6.06887259408438
6/18/2019 9:00:00 AM,3057100,503849.760000001,6.06748329105087
6/18/2019 9:30:00 AM,3057400,503849.760000001,6.06807870663666
6/18/2019 10:00:00 AM,3077400,503849.760000001,6.10777307902259
6/18/2019 10:30:00 AM,3081100,503849.760000001,6.11511653791399
6/18/2019 11:00:00 AM,3086000,503849.760000001,6.12484165914854
6/18/2019 11:30:00 AM,3080600,503849.760000001,6.11412417860434
6/18/2019 12:00:00 PM,3071300,503849.760000001,6.09566629544488
6/18/2019 9:00:00 PM,1537300,530586.160000001,2.89736166506868
6/18/2019 9:30:00 PM,1537300,530586.160000001,2.89736166506868
6/18/2019 10:00:00 PM,1535650,530586.160000001,2.89425189680786
6/18/2019 10:30:00 PM,1535650,530586.160000001,2.89425189680786
6/18/2019 11:00:00 PM,1535300,530586.160000001,2.89359224899495
6/18/2019 11:30:00 PM,1535750,530586.160000001,2.89444036761154
6/19/2019 12:00:00 AM,1535650,530586.160000001,2.89425189680786
6/19/2019 12:30:00 AM,1535150,530586.160000001,2.89330954278943
6/19/2019 1:00:00 AM,1535450,530586.160000001,2.89387495520048
6/19/2019 1:30:00 AM,1536050,530586.160000001,2.8950057800226
6/19/2019 2:00:00 AM,1535400,530586.160000001,2.89378071979864
6/19/2019 2:30:00 AM,1536400,530586.160000001,2.8956654278355
6/19/2019 3:00:00 AM,1535200,530586.160000001,2.89340377819127
6/19/2019 3:30:00 AM,1535800,530586.160000001,2.89453460301339
6/19/2019 4:00:00 AM,1535700,530586.160000001,2.8943461322097
6/19/2019 4:30:00 AM,1536050,530586.160000001,2.8950057800226
